No.,Youtube trending,Details
1,"MINECRAFT, BUT WE CAN CRAFT STRUCTURES",":2.7M Views, :317.9K Likes, :6K Dislikes, :32.9K Comments "
2,Am I Overrated?? Answering Google's Most Searched Questions About Me - QNA/Self Roast,":2.3M Views, :465.4K Likes, :3.6K Dislikes, :32.7K Comments "
3,"Shershaah - Official Trailer | Vishnu Varadhan | Sidharth Malhotra, Kiara Advani | Aug 12",":16.9M Views, :286.4K Likes, :9.2K Dislikes, :20.4K Comments "
4,Father Saab ( Official Video ) - Amit Bhadana | King | Section 8 | Teji Sandhu,":17M Views, :1.1M Likes, :13.3K Dislikes, :166.4K Comments "
5,Dance your 💜 out to #PermissiontoDance 💃🕺 Only on YouTube #Shorts,":50.4M Views, :4.6M Likes, :66.5K Dislikes, :61.5K Comments "
6,Guess the color challenge😁 #shorts by Tsuriki Show,":7.1M Views, :162.3K Likes, :10.9K Dislikes, :176 Comments "
7,3rd ODI Highlights | Sri Lanka vs India 2021,":5.8M Views, :94.5K Likes, :5.5K Dislikes, :4.8K Comments "
8,Minecraft unsolved mysteries | Minecraft in Hindi,":541.9K Views, :51.6K Likes, :801 Dislikes, :2.3K Comments "
9,TINDER CHATS REVIEW #2,":1.3M Views, :161.6K Likes, :1.9K Dislikes, :2.9K Comments "
10,Advanced Cup Cake Decorating Idea | Caketube #shorts,":1.6M Views, :46.8K Likes, :2.5K Dislikes, :88 Comments "
11,POTATO STICKS | Crispy Potato Fry Recipe Cooking In Village | Aloo Snacks | Potato Snack Recipe,":2.6M Views, :166.3K Likes, :3.6K Dislikes, :7.8K Comments "
12,Backbenchers - School love || Ep-14 || Dorasai Teja || Varsha Dsouza || Tejindia || Infinitum Media,":2.6M Views, :248K Likes, :3.4K Dislikes, :9.1K Comments "
13,Rajiv Kanakala Gives Calrity on Clashes with Anchor Suma | Rajiv Kanakala Latest Interview | Sumantv,":539.3K Views, :5.3K Likes, :546 Dislikes, :694 Comments "
14,Anaya Ka Birthday | A Funny Comedy DIML Vlog | ShrutiArjunAnand,":2.3M Views, :143.1K Likes, :6.6K Dislikes, :14.8K Comments "
15,DRONE ആക്രമണം😱 & പഞ്ചറായ ചന്തിയും 🍑,":435.4K Views, :56.8K Likes, :686 Dislikes, :3K Comments "
16,BOL BABY BOL | बोल बेबी बोल | #Couple challenge | Husband vs Wife Funny game show | Ruchi and Piyush,":2M Views, :76.1K Likes, :5.4K Dislikes, :17.4K Comments "
17,"Sapna Choudhary : Bagdo Nachi Saman Me | Ruchika Jangid, Kay D | New Haryanvi Songs Haryanavi 2021",":3.2M Views, :104.6K Likes, :1.9K Dislikes, :22.2K Comments "
18,"Enemy (Tamil) - Official Teaser | Vishal,Arya | Anand Shankar | Vinod Kumar | Thaman S, Sam CS",":11.4M Views, :222.4K Likes, :3.2K Dislikes, :8.2K Comments "
19,"Got Everything In 1 Diamond In Subscriber Account 😍 Buying 12,000 Diamonds - Garena Free Fire",":1.8M Views, :157.5K Likes, :5.7K Dislikes, :7.5K Comments "
20,Road trip | BakLol Video,":1.4M Views, :37.7K Likes, :3.5K Dislikes, :3.1K Comments "
21,കല്യാണപെണ്ണിനെ ഓടിച്ചിട്ട്‌ തല്ലി 🥺 Marriage Prank Gone Wrong,":1M Views, :69.4K Likes, :4.6K Dislikes, :4.7K Comments "
22,45 Seconds Ke Andar train se utarna pada😱 | Muskan sharma vlog,":411.8K Views, :43.5K Likes, :462 Dislikes, :3.8K Comments "
